,source_user,username,target_user
0,1435062946598694914,La_ReVoluZzion,usembassyguate
1,1435062946598694914,La_ReVoluZzion,48CantonesToto
2,1435062946598694914,La_ReVoluZzion,USAIDGuate
3,1435062946598694914,La_ReVoluZzion,UEGuatemala
4,1435062946598694914,La_ReVoluZzion,BArevalodeLeon
6,1087057038755143680,M24095273,IvanDuque
7,1087057038755143680,M24095273,BArevalodeLeon
8,2881001877,carlosalbesc,IvanDuque
9,2881001877,carlosalbesc,BArevalodeLeon
10,3013862206,Brenda_AGN,BArevalodeLeon
11,3013862206,Brenda_AGN,KarinHerreraVP
12,3013862206,Brenda_AGN,AGN_noticias
13,3013862206,Brenda_AGN,CongresoGuate
14,1628956392487878657,Roberto28338166,BArevalodeLeon
15,1456725120735748100,LuisEnr36669555,EmisorasUnidas
16,1456725120735748100,LuisEnr36669555,BArevalodeLeon
17,1049536922299846656,keratox1,IvanDuque
18,1049536922299846656,keratox1,BArevalodeLeon
19,145724847,Radio_TGW,KarinHerreraVP
20,145724847,Radio_TGW,BArevalodeLeon
21,749889296,Corleone_62,mys_servicios
22,749889296,Corleone_62,BArevalodeLeon
23,1562050217050005505,GTNewsAgency,BArevalodeLeon
24,495102115,GuatemalaGob,BArevalodeLeon
27,787110247,othmancgrstones,PEdgar05
28,787110247,othmancgrstones,BArevalodeLeon
29,1403602733832286209,BrenttGranth,MendiaMariela
30,1403602733832286209,BrenttGranth,BArevalodeLeon
31,1407466196,reybet0,IvanDuque
32,1407466196,reybet0,BArevalodeLeon
33,260318585,DiariodeCA,BArevalodeLeon
34,3910209255,rafaeortega2,IvanDuque
35,3910209255,rafaeortega2,BArevalodeLeon
36,1299426548638978049,BenitoC67601310,arronchopa
37,1299426548638978049,BenitoC67601310,BArevalodeLeon
38,1421539638590722052,licigir21,GuatemalaGob
39,1421539638590722052,licigir21,BArevalodeLeon
42,1750902493024821248,CopresamOficial,BArevalodeLeon
43,308238423,fernandochang95,GuatemalaGob
44,308238423,fernandochang95,BArevalodeLeon
45,308238423,fernandochang95,rocasgt
46,1265368023013240834,AuraRod18533431,ElQueNews
47,1265368023013240834,AuraRod18533431,BancadaSemilla
48,1265368023013240834,AuraRod18533431,BArevalodeLeon
49,1265368023013240834,AuraRod18533431,AVillagran502
52,150310429,SCEPgt,BArevalodeLeon
53,1274414541288493057,Un_tal_Puyol,IvanDuque
54,1274414541288493057,Un_tal_Puyol,BArevalodeLeon
55,1299426548638978049,BenitoC67601310,ElQueNews
57,1479923394313400320,Taga07_,BArevalodeLeon
58,1433529272405266433,Pablvito,BenitoC67601310
59,1433529272405266433,Pablvito,BArevalodeLeon
60,1299426548638978049,BenitoC67601310,anti_chairosgt
62,1299426548638978049,BenitoC67601310,GuatemalaGob
64,2601880958,SCSPGT,BArevalodeLeon
65,1595468641281212418,GuaTv_,BArevalodeLeon
68,1299426548638978049,BenitoC67601310,Pablvito
70,1806016582960771072,JavierR07772901,Alfredo93672277
71,1806016582960771072,JavierR07772901,wuatemalteco
72,1806016582960771072,JavierR07772901,jimmymoralesgt
73,1806016582960771072,JavierR07772901,DrGiammattei
74,1806016582960771072,JavierR07772901,BArevalodeLeon
75,1713596445167632384,Eduardo5554429,EmisorasUnidas
76,1713596445167632384,Eduardo5554429,BArevalodeLeon
77,1445477731081150468,WendyNC07,BArevalodeLeon
78,1636398294178856963,edixong40550140,IvanDuque
79,1636398294178856963,edixong40550140,BArevalodeLeon
80,1685503864244473856,BillyC2023,LuisAlbert98610
81,1685503864244473856,BillyC2023,wichomarg
82,1685503864244473856,BillyC2023,BArevalodeLeon
83,1228764415,Kaluc0,Soygeorgegt
84,1228764415,Kaluc0,MPguatemala
85,1228764415,Kaluc0,CC_Guatemala
86,1228764415,Kaluc0,PGNguatemala
87,1228764415,Kaluc0,BArevalodeLeon
88,1228764415,Kaluc0,Contraloria_gt
90,825528049479327745,cokyblancot,UbaldoMacu
91,825528049479327745,cokyblancot,FJimenezmingob
92,825528049479327745,cokyblancot,BArevalodeLeon
93,1701981010865295360,la_mas_equis,IvanDuque
94,1701981010865295360,la_mas_equis,BArevalodeLeon
